"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,,,,,,,
391,Pittsburgh 2629 Brownsville Rd ,25.72,2036079.01,79163.25855,261 ,0,,,,,,,,,
392,Johnstown East Hills Plz 1513 Scalp Ave ,27.75,2022691.3,72889.77658,1102 ,0,,,,,,,,,
393,South Park The Bavarian Village 2550 Brownsville Rd ,30.03,2022050.96,67334.3643,210 ,0,,,,,,,,,
394,Greenville 100 Hadley ,32.32,2018623,62457.3948,4303 ,0,,,,,,,,,
395,"Covington Twp 921 Drinker Tpke, ",28.49,2016391.52,70775.41313,3521 ,0,,,,,,,,,
396,Cheswick Cheswick Plz 1302 Pittsburgh St ,30.14,2001061.89,66392.23258,255 ,0,,,,,,,,,
397,Enola E Penn Ctr 736 Wertzville Road ,27.16,1995512.51,73472.47828,2111 ,0,,,,,,,,,
398,Coal Twp The Plz At Coal Twp 9345 State Rte 61 ,30.4,1994591.22,65611.55329,4902 ,0,,,,,,,,,
399,Pittsburgh 4643 Centre Ave ,24.09,1994309.12,82785.76671,252 ,0,,,,,,,,,
400,Pen Argyl 1375 Blue Valley Dr ,25.46,1992403.69,78256.23291,4803 ,0,,,,,,,,,
401,Mt Pleasant 208 Countryside Plz ,26.87,1984628.84,73860.39598,6509 ,0,,,,,,,,,
402,Bethlehem 3030 Emrick Blvd (Rear) ,101.53,1984456.41,19545.51768,4818 ,1,,,,,,,,,
403,Waynesboro Wayne Heights Mall 1507-1509 E Main St ,31.3,1981696.25,63312.97923,2802 ,0,,,,,,,,,
404,Pottsville 888 Gordon Nagle Trail ,29.35,1974203.45,67264.17206,5408 ,0,,,,,,,,,
405,Butler 340 Greater Butler Mart ,32.04,1968547.03,61440.29432,1006 ,0,,,,,,,,,
406,Natrona Heights Heights Plz 1632 Pacific Ave ,25.85,1957288.49,75717.15629,283 ,0,,,,,,,,,
408,Philadelphia 2511 W Girard Ave ,17.73,1943152.34,109596.8607,5127 ,0,,,,,,,,,
409,"Philadelphia Baker’s Centre, ",28.06,1943131.21,69249.15217,5174 ,0,,,,,,,,,
410,Bath Bath Shopping Ctr 362 S Walnut St ,29.32,1942668.2,66257.44202,4809 ,0,,,,,,,,,
411,Hershey 731 Cherry Dr ,25.64,1941915.17,75737.72114,2218 ,0,,,,,,,,,
412,Tamaqua 141 N Railroad St ,26.92,1922817.04,71427.08172,5403 ,0,,,,,,,,,
413,Ridley Park 12 E Hinckley Ave ,23.63,1920273.1,81264.20229,2317 ,0,,,,,,,,,
414,Wilkes-Barre 850 Sans Souci Pky ,26.09,1917562.33,73497.98122,4028 ,0,,,,,,,,,
415,Franklin 541 Allegheny Blvd ,30.51,1916306.07,62809.11406,6102 ,0,,,,,,,,,
416,Aston 3486 Concord ,23.07,1915357.07,83023.71348,2325 ,0,,,,,,,,,
417,"Hawley Vill Ctr At Lords Valley Hc8 Box 8416, ",26.52,1903596.08,71779.64103,5202 ,0,,,,,,,,,
418,Verona Community Plz 1103 Milltown Rd ,25.52,1897310.88,74346.03762,9210 ,0,,,,,,,,,
419,Slippery Rock Slippery Rock ,25.36,1891967.89,74604.41207,1008 ,0,,,,,,,,,
420,Lehighton 143 South St ,27.5,1885097.51,68549.00036,1304 ,0,,,,,,,,,
421,Kenhorst 300 Kenhorst Plz ,24.28,1884042.8,77596.49094,610 ,0,,,,,,,,,
422,Montoursville 803 N Loyalsock Ave ,28.54,1880370.09,65885.42712,4107 ,0,,,,,,,,,
423,Erie 3412 W Lake Rd ,34.82,1878602.39,53951.82051,2517 ,0,,,,,,,,,
424,St Marys St Marys Plz Shopping Ctr 832 S St Marys Rd ,31.58,1878313.72,59477.95187,2402 ,0,,,,,,,,,
425,Old Forge 305 S Main St ,31.12,1875844.52,60277.78021,3505 ,0,,,,,,,,,
426,Manheim Manheim Shopping Ctr 97 Doe Run Rd ,27.85,1869678.49,67133.87756,3605 ,0,,,,,,,,,
427,Womelsdorf Tulpehocken Village Shopping Ctr 430 N Third St ,29.74,1864532.73,62694.44284,617 ,0,,,,,,,,,
428,Verona River Town Shops 90 Allegheny River Blvd ,27.45,1863572.01,67889.69071,202 ,0,,,,,,,,,
429,Williamsport 2067 Lycoming Creek Rd ,27.36,1857303.24,67883.89035,4106 ,0,,,,,,,,,
430,Erie E Erie PlZ Shopping Ctr 828 E Sixth St ,25.24,1846425.69,73154.74208,2513 ,0,,,,,,,,,
431,Enola Summerdale Plz Shopping Ctr 443 N Enola Rd ,28.43,1844271.43,64870.60957,2108 ,0,,,,,,,,,
432,Girard Imperial Point Plz 9135 Ridge Rd ,29.02,1833413.77,63177.59373,2520 ,0,,,,,,,,,
