"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,,,,,,,,,,,,
53,Mcmurray Donaldsons Crossroads S C 3929 Washington Rd ,$38.91,"$7,644,351.20",196462.3799,6315 ,0,,,,,,,,,,,,,,
54,Bala Cynwyd 119 West City Ave ,$32.41,"$7,487,030.34",231009.884,4614 ,0,,,,,,,,,,,,,,
55,Media 315 W Baltimore Ave ,$34.16,"$7,467,028.13",218589.8165,2305 ,0,,,,,,,,,,,,,,
56,New Hope Logan Sq Shopping Ctr 6542-J Lower York Rd ,$57.71,"$7,399,806.45",128223.9898,912 ,0,,,,,,,,,,,,,,
57,Downingtown Ashbridge Shopping Ctr 861 E Lancaster Ave ,$34.58,"$7,301,986.24",211162.1238,1506 ,0,,,,,,,,,,,,,,
58,Greensburg Westmoreland Crossing 5280 Rte ,$42.17,"$7,250,121.03",171926.0382,6517 ,0,,,,,,,,,,,,,,
59,Limerick Limerick Village 200 West Ridge Pike ,$38.49,"$7,219,653.59",187572.1899,4645 ,0,,,,,,,,,,,,,,
60,Pittsburgh Bill Green Shopping Ctr 10 Old Clairton Rd ,$34.60,"$7,194,206.36",207925.0393,284 ,0,,,,,,,,,,,,,,
61,Pittsburgh 1602 Cochran Rd ,$34.79,"$6,986,487.63",200818.8454,9205 ,0,,,,,,,,,,,,,,
62,Reading 4721 Perkiomen Ave. ,$32.54,"$6,985,031.06",214659.8359,604 ,0,,,,,,,,,,,,,,
63,Wayne 821 W Lancaster ,$52.06,"$6,937,349.60",133256.8114,1527 ,0,,,,,,,,,,,,,,
64,Hanover Hanover Crossing Shopping Ctr 431 Eisenhower Dr ,$35.08,"$6,835,507.33",194854.827,6711 ,0,,,,,,,,,,,,,,
65,Fairless Hills 510 S Oxford Valley ,$26.46,"$6,812,434.83",257461.6338,911 ,0,,,,,,,,,,,,,,
66,Philadelphia 2401 Vare Ave ,$24.03,"$6,792,908.11",282684.4823,5191 ,0,,,,,,,,,,,,,,
67,Erie Liberty Plaza Shopping Ctr 3702 Liberty St ,$29.26,"$6,762,797.48",231127.7334,2516 ,0,,,,,,,,,,,,,,
68,Paoli Paoli Shopping Ctr 17-19 Leopard ,$42.09,"$6,761,464.00",160643.0031,1528 ,0,,,,,,,,,,,,,,
69,York Commerce Ctr 2148 White ,$28.92,"$6,726,856.06",232602.2151,6712 ,0,,,,,,,,,,,,,,
70,Wayne 161 E Swedesford Rd ,$35.96,"$6,623,986.56",184204.2981,1514 ,0,,,,,,,,,,,,,,
71,Lebanon 102 N 8th Ave ,$30.33,"$6,496,223.79",214184.7606,3801 ,0,,,,,,,,,,,,,,
72,Carlisle Carlisle Marketplace 281 S Spring Garden St ,$29.14,"$6,496,051.02",222925.5669,2101 ,0,,,,,,,,,,,,,,
73,Chambersburg Wayne Plz 987 Wayne Ave ,$34.44,"$6,381,021.40",185279.367,2801 ,0,,,,,,,,,,,,,,
74,Lancaster Bridgeport Shopping Ctr 1622 Lincoln Hwy East ,$27.64,"$6,323,179.06",228769.1411,3615 ,0,,,,,,,,,,,,,,
75,Hermitage Hermitage Towne Plz 2321 E State St ,$36.99,"$6,254,647.70",169090.2325,4306 ,0,,,,,,,,,,,,,,
76,West Chester Bradford Plz Sc 692 Downingtown Pike ,$30.91,"$6,231,073.44",201587.6234,1530 ,0,,,,,,,,,,,,,,
77,Dallas 2161 Memorial ,$38.23,"$6,228,503.46",162921.8797,4003 ,0,,,,,,,,,,,,,,
78,Mt Pocono Pocono Village Mall 3430 Rte ,$28.49,"$6,219,381.49",218300.5086,4502 ,0,,,,,,,,,,,,,,
79,Philadelphia 2401 E Venango St ,$24.18,"$6,162,744.56",254869.5021,5140 ,0,,,,,,,,,,,,,,
80,"North Wales Gwynedd Crossing Sc 1200 Bethlehem Pike, ",$37.59,"$6,148,450.26",163566.1149,4632 ,0,,,,,,,,,,,,,,
81,Philadephia Ivy Ridge Shopping Ctr 7146 Ridge Ave ,$27.62,"$6,125,784.05",221787.9815,9118 ,0,,,,,,,,,,,,,,
82,Shrewsbury Shrewsbury Commons Shopping Ctr 802 Shrewsbury Commons Ave ,$42.02,"$6,118,074.24",145599.1014,6714 ,0,,,,,,,,,,,,,,
83,Exton Lionville Shopping Ctr 162 Eagleview Blvd ,$33.71,"$6,114,178.13",181375.7974,1525 ,0,,,,,,,,,,,,,,
84,Reading Penn Plz 3045 Fifth St ,$28.81,"$6,098,337.15",211674.3197,619 ,0,,,,,,,,,,,,,,
85,Bethlehem Stefko Shopping Ctr 1844-A Stefko Blvd ,$27.43,"$6,064,079.49",221074.7171,4804 ,0,,,,,,,,,,,,,,
86,"Altoona Pleasant Valley Shopping Ctr 3415 Pleasant Valley Blvd, ",$33.69,"$6,051,000.16",179608.1971,709 ,0,,,,,,,,,,,,,,
87,Narberth 1 Station Cir ,$40.37,"$6,012,158.05",148926.3822,4636 ,0,,,,,,,,,,,,,,
88,Souderton Hilltown Plz Sc 766 Rt ,$30.38,"$6,009,570.67",197813.3861,910 ,0,,,,,,,,,,,,,,
89,Wayne 209 W Lancaster Ave ,$43.64,"$5,968,317.45",136762.5447,2306 ,0,,,,,,,,,,,,,,
90,Gettysburg 1275 York ,$39.38,"$5,939,974.39",150837.3385,101 ,0,,,,,,,,,,,,,,
