"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,store_text,text2,Store Number,LicenseeOrFulfillmentCenter,test,test,test,text,text2,AvgVal_text,AvgValueOfTransaction,DollarSales,TransactionCount,,City+Address,City+Address_edit,
450,York Yorktowne Mall 131 N Duke ,$24.93,"$1,682,157.33",67475.22383,6701 ,0,,"6701 York Yorktowne Mall 131 N Duke St, Ste 4 67,468 $24.93 $1,682,157.33",6701 ,"6701 York Yorktowne Mall 131 N Duke St, Ste 4 67,468 $24.93 $1,682,157.33",6701 ,0,,,,"$24.93 $1,682,157.33","$1,682,157.33",$24.93,$24.93,"$1,682,157.33",67475.22383,,York Yorktowne Mall 131 N Duke ,York Yorktowne Mall 131 N Duke ,
451,Belle Vernon 4627 Rte ,$29.23,"$1,681,115.00",57513.34246,6511 ,0,,"6511 Belle Vernon 4627 Rte 51, Ste 520 57,506 $29.23 $1,681,115.00",6511 ,"6511 Belle Vernon 4627 Rte 51, Ste 520 57,506 $29.23 $1,681,115.00",6511 ,0,,,,"$29.23 $1,681,115.00","$1,681,115.00",$29.23,$29.23,"$1,681,115.00",57513.34246,,Belle Vernon 4627 Rte ,Belle Vernon 4627 Rte ,
452,Jim Thorpe 1215 N St ,$35.26,"$1,671,406.74",47402.34657,1302 ,0,,"1302 Jim Thorpe 1215 N St 47,400 $35.26 $1,671,406.74",1302 ,"1302 Jim Thorpe 1215 N St 47,400 $35.26 $1,671,406.74",1302 ,0,,,,"$35.26 $1,671,406.74","$1,671,406.74",$35.26,$35.26,"$1,671,406.74",47402.34657,,Jim Thorpe 1215 N St ,Jim Thorpe 1215 N St ,
453,Vandergrift 147 Columbia Ave ,$30.27,"$1,666,977.96",55070.29931,6514 ,0,,"6514 Vandergrift 147 Columbia Ave 55,065 $30.27 $1,666,977.96",6514 ,"6514 Vandergrift 147 Columbia Ave 55,065 $30.27 $1,666,977.96",6514 ,0,,,,"$30.27 $1,666,977.96","$1,666,977.96",$30.27,$30.27,"$1,666,977.96",55070.29931,,Vandergrift 147 Columbia Ave ,Vandergrift 147 Columbia Ave ,
454,Nazareth 34 S Broad St ,$26.46,"$1,662,333.79",62824.40627,4806 ,0,,"4806 Nazareth 34 S Broad St 62,827 $26.46 $1,662,333.79",4806 ,"4806 Nazareth 34 S Broad St 62,827 $26.46 $1,662,333.79",4806 ,0,,,,"$26.46 $1,662,333.79","$1,662,333.79",$26.46,$26.46,"$1,662,333.79",62824.40627,,Nazareth 34 S Broad St ,Nazareth 34 S Broad St ,
455,Easton 111 Northampton St ,$23.10,"$1,651,601.99",71497.92165,4802 ,0,,"4802 Easton 111 Northampton St 71,488 $23.10 $1,651,601.99",4802 ,"4802 Easton 111 Northampton St 71,488 $23.10 $1,651,601.99",4802 ,0,,,,"$23.10 $1,651,601.99","$1,651,601.99",$23.10,$23.10,"$1,651,601.99",71497.92165,,Easton 111 Northampton St ,Easton 111 Northampton St ,
456,Wellsboro 16 Crafton St ,$31.01,"$1,636,763.63",52781.80039,5903 ,0,,"5903 Wellsboro 16 Crafton St 52,774 $31.01 $1,636,763.63",5903 ,"5903 Wellsboro 16 Crafton St 52,774 $31.01 $1,636,763.63",5903 ,0,,,,"$31.01 $1,636,763.63","$1,636,763.63",$31.01,$31.01,"$1,636,763.63",52781.80039,,Wellsboro 16 Crafton St ,Wellsboro 16 Crafton St ,
457,Wilkes-Barre 7 George Ave ,$24.69,"$1,631,812.85",66092.05549,4002 ,0,,"4002 Wilkes-Barre 7 George Ave 66,081 $24.69 $1,631,812.85",4002 ,"4002 Wilkes-Barre 7 George Ave 66,081 $24.69 $1,631,812.85",4002 ,0,,,,"$24.69 $1,631,812.85","$1,631,812.85",$24.69,$24.69,"$1,631,812.85",66092.05549,,Wilkes-Barre 7 George Ave ,Wilkes-Barre 7 George Ave ,
458,Milton Weis Market Shopping Ctr 551 Mahoning St ,$27.24,"$1,628,283.33",59775.45264,4904 ,0,,"4904 Milton Weis Market Shopping Ctr 551 Mahoning St 59,785 $27.24 $1,628,283.33",4904 ,"4904 Milton Weis Market Shopping Ctr 551 Mahoning St 59,785 $27.24 $1,628,283.33",4904 ,0,,,,"$27.24 $1,628,283.33","$1,628,283.33",$27.24,$27.24,"$1,628,283.33",59775.45264,,Milton Weis Market Shopping Ctr 551 Mahoning St ,Milton Weis Market Shopping Ctr 551 Mahoning St ,
459,Wind Gap Wind Gap Plz 813 Male Rd ,$25.64,"$1,622,886.80",63295.117,4816 ,0,,"4816 Wind Gap Wind Gap Plz 813 Male Rd 63,307 $25.64 $1,622,886.80",4816 ,"4816 Wind Gap Wind Gap Plz 813 Male Rd 63,307 $25.64 $1,622,886.80",4816 ,0,,,,"$25.64 $1,622,886.80","$1,622,886.80",$25.64,$25.64,"$1,622,886.80",63295.117,,Wind Gap Wind Gap Plz 813 Male Rd ,Wind Gap Wind Gap Plz 813 Male Rd ,
460,Clarion 78 Clarion Plz ,$30.61,"$1,622,607.27",53009.05815,1603 ,0,,"1603 Clarion 78 Clarion Plz 53,005 $30.61 $1,622,607.27",1603 ,"1603 Clarion 78 Clarion Plz 53,005 $30.61 $1,622,607.27",1603 ,0,,,,"$30.61 $1,622,607.27","$1,622,607.27",$30.61,$30.61,"$1,622,607.27",53009.05815,,Clarion 78 Clarion Plz ,Clarion 78 Clarion Plz ,
461,Homestead 139 E 8th Ave ,$24.78,"$1,615,765.73",65204.42817,204 ,0,,"204 Homestead 139 E 8th Ave 65,203 $24.78 $1,615,765.73",204 ,"204 Homestead 139 E 8th Ave 65,203 $24.78 $1,615,765.73",204 ,0,,,,"$24.78 $1,615,765.73","$1,615,765.73",$24.78,$24.78,"$1,615,765.73",65204.42817,,Homestead 139 E 8th Ave ,Homestead 139 E 8th Ave ,
462,Eynon 771 Scranton Carbondale Hwy ,$29.82,"$1,595,679.83",53510.39001,3523 ,0,,"3523 Eynon 771 Scranton Carbondale Hwy 53,508 $29.82 $1,595,679.83",3523 ,"3523 Eynon 771 Scranton Carbondale Hwy 53,508 $29.82 $1,595,679.83",3523 ,0,,,,"$29.82 $1,595,679.83","$1,595,679.83",$29.82,$29.82,"$1,595,679.83",53510.39001,,Eynon 771 Scranton Carbondale Hwy ,Eynon 771 Scranton Carbondale Hwy ,
463,North East Plz 10720 W Main St ,$29.96,"$1,582,382.40",52816.502,2504 ,0,,"2504 North East Plz 10720 W Main St 52,822 $29.96 $1,582,382.40",2504 ,"2504 North East Plz 10720 W Main St 52,822 $29.96 $1,582,382.40",2504 ,0,,,,"$29.96 $1,582,382.40","$1,582,382.40",$29.96,$29.96,"$1,582,382.40",52816.502,,North East Plz 10720 W Main St ,North East Plz 10720 W Main St ,
464,Mansfield Mansfield Plz 181 N Main St ,$30.58,"$1,576,653.03",51558.30706,5905 ,0,,"5905 Mansfield Mansfield Plz 181 N Main St 51,561 $30.58 $1,576,653.03",5905 ,"5905 Mansfield Mansfield Plz 181 N Main St 51,561 $30.58 $1,576,653.03",5905 ,0,,,,"$30.58 $1,576,653.03","$1,576,653.03",$30.58,$30.58,"$1,576,653.03",51558.30706,,Mansfield Mansfield Plz 181 N Main St ,Mansfield Mansfield Plz 181 N Main St ,
465,W Pittston 801 Wyoming Ave ,$26.56,"$1,574,355.18",59275.42093,4023 ,0,,"4023 W Pittston 801 Wyoming Ave 59,268 $26.56 $1,574,355.18",4023 ,"4023 W Pittston 801 Wyoming Ave 59,268 $26.56 $1,574,355.18",4023 ,0,,,,"$26.56 $1,574,355.18","$1,574,355.18",$26.56,$26.56,"$1,574,355.18",59275.42093,,W Pittston 801 Wyoming Ave ,W Pittston 801 Wyoming Ave ,
466,New Stanton 111 Westmore Ave ,$29.83,"$1,573,566.66",52751.14516,6522 ,0,,"6522 New Stanton 111 Westmore Ave 52,747 $29.83 $1,573,566.66",6522 ,"6522 New Stanton 111 Westmore Ave 52,747 $29.83 $1,573,566.66",6522 ,0,,,,"$29.83 $1,573,566.66","$1,573,566.66",$29.83,$29.83,"$1,573,566.66",52751.14516,,New Stanton 111 Westmore Ave ,New Stanton 111 Westmore Ave ,
467,Pittsburgh 126 Grant Ave ,$24.57,"$1,557,321.35",63383.04233,223 ,0,,"223 Pittsburgh 126 Grant Ave 63,379 $24.57 $1,557,321.35",223 ,"223 Pittsburgh 126 Grant Ave 63,379 $24.57 $1,557,321.35",223 ,0,,,,"$24.57 $1,557,321.35","$1,557,321.35",$24.57,$24.57,"$1,557,321.35",63383.04233,,Pittsburgh 126 Grant Ave ,Pittsburgh 126 Grant Ave ,
468,West Mifflin Kennywood Shops 1326 Hoffman Blvd ,$20.79,"$1,535,377.41",73851.72727,219 ,0,,"219 West Mifflin Kennywood Shops 1326 Hoffman Blvd 73,858 $20.79 $1,535,377.41",219 ,"219 West Mifflin Kennywood Shops 1326 Hoffman Blvd 73,858 $20.79 $1,535,377.41",219 ,0,,,,"$20.79 $1,535,377.41","$1,535,377.41",$20.79,$20.79,"$1,535,377.41",73851.72727,,West Mifflin Kennywood Shops 1326 Hoffman Blvd ,West Mifflin Kennywood Shops 1326 Hoffman Blvd ,
469,Lower Burrell 249 Hillcrest Shopping Ctr 3220 Leechburg Rd ,$27.87,"$1,521,651.55",54598.18981,6510 ,0,,"6510 Lower Burrell 249 Hillcrest Shopping Ctr 3220 Leechburg Rd 54,605 $27.87 $1,521,651.55",6510 ,"6510 Lower Burrell 249 Hillcrest Shopping Ctr 3220 Leechburg Rd 54,605 $27.87 $1,521,651.55",6510 ,0,,,,"$27.87 $1,521,651.55","$1,521,651.55",$27.87,$27.87,"$1,521,651.55",54598.18981,,Lower Burrell 249 Hillcrest Shopping Ctr 3220 Leechburg Rd ,Lower Burrell 249 Hillcrest Shopping Ctr 3220 Leechburg Rd ,
470,Ambridge 999 Merchant St ,$25.06,"$1,510,661.95",60281.80168,403 ,0,,"403 Ambridge 999 Merchant St 60,292 $25.06 $1,510,661.95",403 ,"403 Ambridge 999 Merchant St 60,292 $25.06 $1,510,661.95",403 ,0,,,,"$25.06 $1,510,661.95","$1,510,661.95",$25.06,$25.06,"$1,510,661.95",60281.80168,,Ambridge 999 Merchant St ,Ambridge 999 Merchant St ,
471,Waynesburg Widewaters Commons 55 Sugar Run ,$27.97,"$1,503,587.88",53757.1641,3001 ,0,,"3001 Waynesburg Widewaters Commons 55 Sugar Run Rd, Ste 105 53,750 $27.97 $1,503,587.88",3001 ,"3001 Waynesburg Widewaters Commons 55 Sugar Run Rd, Ste 105 53,750 $27.97 $1,503,587.88",3001 ,0,,,,"$27.97 $1,503,587.88","$1,503,587.88",$27.97,$27.97,"$1,503,587.88",53757.1641,,Waynesburg Widewaters Commons 55 Sugar Run ,Waynesburg Widewaters Commons 55 Sugar Run ,
472,Erie Commodore Perry Plz 2208 Broad St ,$21.23,"$1,490,597.00",70211.82289,2515 ,0,,"2515 Erie Commodore Perry Plz 2208 Broad St 70,228 $21.23 $1,490,597.00",2515 ,"2515 Erie Commodore Perry Plz 2208 Broad St 70,228 $21.23 $1,490,597.00",2515 ,0,,,,"$21.23 $1,490,597.00","$1,490,597.00",$21.23,$21.23,"$1,490,597.00",70211.82289,,Erie Commodore Perry Plz 2208 Broad St ,Erie Commodore Perry Plz 2208 Broad St ,
473,Schuylkill Haven 515 Dock St ,$27.91,"$1,480,775.39",53055.37048,5412 ,0,,"5412 Schuylkill Haven 515 Dock St 53,047 $27.91 $1,480,775.39",5412 ,"5412 Schuylkill Haven 515 Dock St 53,047 $27.91 $1,480,775.39",5412 ,0,,,,"$27.91 $1,480,775.39","$1,480,775.39",$27.91,$27.91,"$1,480,775.39",53055.37048,,Schuylkill Haven 515 Dock St ,Schuylkill Haven 515 Dock St ,
474,Monroeville Monroeville Mall 326-328 Mall Blvd ,$29.60,"$1,477,758.51",49924.27399,9209 ,0,,"9209 Monroeville Monroeville Mall 326-328 Mall Blvd 49,927 $29.60 $1,477,758.51",9209 ,"9209 Monroeville Monroeville Mall 326-328 Mall Blvd 49,927 $29.60 $1,477,758.51",9209 ,0,,,,"$29.60 $1,477,758.51","$1,477,758.51",$29.60,$29.60,"$1,477,758.51",49924.27399,,Monroeville Monroeville Mall 326-328 Mall Blvd ,Monroeville Monroeville Mall 326-328 Mall Blvd ,
475,Gap Village At Gap Shopping Ctr 5360 Lincoln ,$28.16,"$1,473,662.27",52331.75675,3612 ,0,,"3612 Gap Village At Gap Shopping Ctr 5360 Lincoln Hwy, Str 14 52,325 $28.16 $1,473,662.27",3612 ,"3612 Gap Village At Gap Shopping Ctr 5360 Lincoln Hwy, Str 14 52,325 $28.16 $1,473,662.27",3612 ,0,,,,"$28.16 $1,473,662.27","$1,473,662.27",$28.16,$28.16,"$1,473,662.27",52331.75675,,Gap Village At Gap Shopping Ctr 5360 Lincoln ,Gap Village At Gap Shopping Ctr 5360 Lincoln ,
476,Titusville 126 S Martin St ,$28.39,"$1,469,646.06",51766.32828,2002 ,0,,"2002 Titusville 126 S Martin St 51,769 $28.39 $1,469,646.06",2002 ,"2002 Titusville 126 S Martin St 51,769 $28.39 $1,469,646.06",2002 ,0,,,,"$28.39 $1,469,646.06","$1,469,646.06",$28.39,$28.39,"$1,469,646.06",51766.32828,,Titusville 126 S Martin St ,Titusville 126 S Martin St ,
477,Charleroi 105 3rd St ,$32.01,"$1,459,924.73",45608.39519,6304 ,0,,"6304 Charleroi 105 3rd St 45,613 $32.01 $1,459,924.73",6304 ,"6304 Charleroi 105 3rd St 45,613 $32.01 $1,459,924.73",6304 ,0,,,,"$32.01 $1,459,924.73","$1,459,924.73",$32.01,$32.01,"$1,459,924.73",45608.39519,,Charleroi 105 3rd St ,Charleroi 105 3rd St ,
478,New Castle 4 Cascade Galleria 100 S Jefferson St ,$21.74,"$1,456,418.35",66992.5644,3706 ,0,,"3706 New Castle 4 Cascade Galleria 100 S Jefferson St 67,000 $21.74 $1,456,418.35",3706 ,"3706 New Castle 4 Cascade Galleria 100 S Jefferson St 67,000 $21.74 $1,456,418.35",3706 ,0,,,,"$21.74 $1,456,418.35","$1,456,418.35",$21.74,$21.74,"$1,456,418.35",66992.5644,,New Castle 4 Cascade Galleria 100 S Jefferson St ,New Castle 4 Cascade Galleria 100 S Jefferson St ,
479,Duncannon 53 Main St ,$31.61,"$1,456,271.14",46069.95065,5002 ,0,,"5002 Duncannon 53 Main St 46,073 $31.61 $1,456,271.14",5002 ,"5002 Duncannon 53 Main St 46,073 $31.61 $1,456,271.14",5002 ,0,,,,"$31.61 $1,456,271.14","$1,456,271.14",$31.61,$31.61,"$1,456,271.14",46069.95065,,Duncannon 53 Main St ,Duncannon 53 Main St ,
480,Hopewell Twp Green Garden Shopping Ctr 3113 Green Garden Rd ,$26.06,"$1,451,641.82",55703.83039,402 ,0,,"402 Hopewell Twp Green Garden Shopping Ctr 3113 Green Garden Rd 55,707 $26.06 $1,451,641.82",402 ,"402 Hopewell Twp Green Garden Shopping Ctr 3113 Green Garden Rd 55,707 $26.06 $1,451,641.82",402 ,0,,,,"$26.06 $1,451,641.82","$1,451,641.82",$26.06,$26.06,"$1,451,641.82",55703.83039,,Hopewell Twp Green Garden Shopping Ctr 3113 Green Garden Rd ,Hopewell Twp Green Garden Shopping Ctr 3113 Green Garden Rd ,
481,Clarion 800 Ctr 845 Main St ,$33.36,"$1,437,898.07",43102.46013,1601 ,0,,"1601 Clarion 800 Ctr 845 Main St 43,098 $33.36 $1,437,898.07",1601 ,"1601 Clarion 800 Ctr 845 Main St 43,098 $33.36 $1,437,898.07",1601 ,0,,,,"$33.36 $1,437,898.07","$1,437,898.07",$33.36,$33.36,"$1,437,898.07",43102.46013,,Clarion 800 Ctr 845 Main St ,Clarion 800 Ctr 845 Main St ,
482,Leetsdale 3 Quaker Village Shopping Ctr ,$29.28,"$1,428,022.57",48771.26264,9203 ,0,,"9203 Leetsdale 3 Quaker Village Shopping Ctr 48,778 $29.28 $1,428,022.57",9203 ,"9203 Leetsdale 3 Quaker Village Shopping Ctr 48,778 $29.28 $1,428,022.57",9203 ,0,,,,"$29.28 $1,428,022.57","$1,428,022.57",$29.28,$29.28,"$1,428,022.57",48771.26264,,Leetsdale 3 Quaker Village Shopping Ctr ,Leetsdale 3 Quaker Village Shopping Ctr ,
483,Orwigsburg Federal Sq 705 W Market ,$36.75,"$1,425,113.32",38778.59374,5409 ,0,,"5409 Orwigsburg Federal Sq 705 W Market St, Ste 3 38,775 $36.75 $1,425,113.32",5409 ,"5409 Orwigsburg Federal Sq 705 W Market St, Ste 3 38,775 $36.75 $1,425,113.32",5409 ,0,,,,"$36.75 $1,425,113.32","$1,425,113.32",$36.75,$36.75,"$1,425,113.32",38778.59374,,Orwigsburg Federal Sq 705 W Market ,Orwigsburg Federal Sq 705 W Market ,
484,Punxsutawney 567 W Mahoning St ,$30.28,"$1,424,745.22",47052.35205,3302 ,0,,"3302 Punxsutawney 567 W Mahoning St 47,058 $30.28 $1,424,745.22",3302 ,"3302 Punxsutawney 567 W Mahoning St 47,058 $30.28 $1,424,745.22",3302 ,0,,,,"$30.28 $1,424,745.22","$1,424,745.22",$30.28,$30.28,"$1,424,745.22",47052.35205,,Punxsutawney 567 W Mahoning St ,Punxsutawney 567 W Mahoning St ,
485,Jeannette Penn Crossing Shopping Ctr 2012 Penny Ln ,$28.04,"$1,420,913.99",50674.53602,6516 ,0,,"6516 Jeannette Penn Crossing Shopping Ctr 2012 Penny Ln 50,678 $28.04 $1,420,913.99",6516 ,"6516 Jeannette Penn Crossing Shopping Ctr 2012 Penny Ln 50,678 $28.04 $1,420,913.99",6516 ,0,,,,"$28.04 $1,420,913.99","$1,420,913.99",$28.04,$28.04,"$1,420,913.99",50674.53602,,Jeannette Penn Crossing Shopping Ctr 2012 Penny Ln ,Jeannette Penn Crossing Shopping Ctr 2012 Penny Ln ,
486,Philipsburg 4A Peebles Plz ,$25.12,"$1,416,160.92",56375.8328,1706 ,0,,"1706 Philipsburg 4A Peebles Plz 56,368 $25.12 $1,416,160.92",1706 ,"1706 Philipsburg 4A Peebles Plz 56,368 $25.12 $1,416,160.92",1706 ,0,,,,"$25.12 $1,416,160.92","$1,416,160.92",$25.12,$25.12,"$1,416,160.92",56375.8328,,Philipsburg 4A Peebles Plz ,Philipsburg 4A Peebles Plz ,
487,Plains Plains Plz 21 N River St ,$26.52,"$1,415,535.24",53376.14027,4017 ,0,,"4017 Plains Plains Plz 21 N River St 53,372 $26.52 $1,415,535.24",4017 ,"4017 Plains Plains Plz 21 N River St 53,372 $26.52 $1,415,535.24",4017 ,0,,,,"$26.52 $1,415,535.24","$1,415,535.24",$26.52,$26.52,"$1,415,535.24",53376.14027,,Plains Plains Plz 21 N River St ,Plains Plains Plz 21 N River St ,
488,Steelton 325 N Front St ,$24.08,"$1,413,688.05",58707.9755,2204 ,0,,"2204 Steelton 325 N Front St 58,706 $24.08 $1,413,688.05",2204 ,"2204 Steelton 325 N Front St 58,706 $24.08 $1,413,688.05",2204 ,0,,,,"$24.08 $1,413,688.05","$1,413,688.05",$24.08,$24.08,"$1,413,688.05",58707.9755,,Steelton 325 N Front St ,Steelton 325 N Front St ,
489,California 327 Third St ,$27.40,"$1,362,483.39",49725.67117,6311 ,0,,"6311 California 327 Third St 49,729 $27.40 $1,362,483.39",6311 ,"6311 California 327 Third St 49,729 $27.40 $1,362,483.39",6311 ,0,,,,"$27.40 $1,362,483.39","$1,362,483.39",$27.40,$27.40,"$1,362,483.39",49725.67117,,California 327 Third St ,California 327 Third St ,
490,Oxford Oxford Sq Shopping Ctr 449 N Third St ,$24.57,"$1,349,320.73",54917.40863,1524 ,0,,"1524 Oxford Oxford Sq Shopping Ctr 449 N Third St 54,917 $24.57 $1,349,320.73",1524 ,"1524 Oxford Oxford Sq Shopping Ctr 449 N Third St 54,917 $24.57 $1,349,320.73",1524 ,0,,,,"$24.57 $1,349,320.73","$1,349,320.73",$24.57,$24.57,"$1,349,320.73",54917.40863,,Oxford Oxford Sq Shopping Ctr 449 N Third St ,Oxford Oxford Sq Shopping Ctr 449 N Third St ,
491,Corry Corry Plz 350 W Columbus Ave ,$29.41,"$1,344,385.56",45711.85175,2506 ,0,,"2506 Corry Corry Plz 350 W Columbus Ave 45,712 $29.41 $1,344,385.56",2506 ,"2506 Corry Corry Plz 350 W Columbus Ave 45,712 $29.41 $1,344,385.56",2506 ,0,,,,"$29.41 $1,344,385.56","$1,344,385.56",$29.41,$29.41,"$1,344,385.56",45711.85175,,Corry Corry Plz 350 W Columbus Ave ,Corry Corry Plz 350 W Columbus Ave ,
492,Sharon Sharon Ctr City Shopping Ctr 120 S Water Ave ,$22.60,"$1,319,865.08",58401.10973,4301 ,0,,"4301 Sharon Sharon Ctr City Shopping Ctr 120 S Water Ave 58,398 $22.60 $1,319,865.08",4301 ,"4301 Sharon Sharon Ctr City Shopping Ctr 120 S Water Ave 58,398 $22.60 $1,319,865.08",4301 ,0,,,,"$22.60 $1,319,865.08","$1,319,865.08",$22.60,$22.60,"$1,319,865.08",58401.10973,,Sharon Sharon Ctr City Shopping Ctr 120 S Water Ave ,Sharon Sharon Ctr City Shopping Ctr 120 S Water Ave ,
493,Monongahela 245 W Main St ,$25.46,"$1,316,015.78",51689.5436,6306 ,0,,"6306 Monongahela 245 W Main St 51,688 $25.46 $1,316,015.78",6306 ,"6306 Monongahela 245 W Main St 51,688 $25.46 $1,316,015.78",6306 ,0,,,,"$25.46 $1,316,015.78","$1,316,015.78",$25.46,$25.46,"$1,316,015.78",51689.5436,,Monongahela 245 W Main St ,Monongahela 245 W Main St ,
494,New Kensington 328 Central City Plz ,$21.41,"$1,313,622.30",61355.54881,6505 ,0,,"6505 New Kensington 328 Central City Plz 61,343 $21.41 $1,313,622.30",6505 ,"6505 New Kensington 328 Central City Plz 61,343 $21.41 $1,313,622.30",6505 ,0,,,,"$21.41 $1,313,622.30","$1,313,622.30",$21.41,$21.41,"$1,313,622.30",61355.54881,,New Kensington 328 Central City Plz ,New Kensington 328 Central City Plz ,
495,Baden Northern Lights Shoppers City 1603 State ,$25.24,"$1,307,288.91",51794.33082,412 ,0,,"412 Baden Northern Lights Shoppers City 1603 State St, W 51,798 $25.24 $1,307,288.91",412 ,"412 Baden Northern Lights Shoppers City 1603 State St, W 51,798 $25.24 $1,307,288.91",412 ,0,,,,"$25.24 $1,307,288.91","$1,307,288.91",$25.24,$25.24,"$1,307,288.91",51794.33082,,Baden Northern Lights Shoppers City 1603 State ,Baden Northern Lights Shoppers City 1603 State ,
496,Oil City Seneca St Plz 50 Seneca St ,$30.00,"$1,302,345.81",43411.527,6101 ,0,,"6101 Oil City Seneca St Plz 50 Seneca St 43,410 $30.00 $1,302,345.81",6101 ,"6101 Oil City Seneca St Plz 50 Seneca St 43,410 $30.00 $1,302,345.81",6101 ,0,,,,"$30.00 $1,302,345.81","$1,302,345.81",$30.00,$30.00,"$1,302,345.81",43411.527,,Oil City Seneca St Plz 50 Seneca St ,Oil City Seneca St Plz 50 Seneca St ,
497,Manchester Chester Sq Shopping Ctr 4169 N George St Extended ,$24.10,"$1,300,432.56",53959.85726,6706 ,0,,"6706 Manchester Chester Sq Shopping Ctr 4169 N George St Extended 53,970 $24.10 $1,300,432.56",6706 ,"6706 Manchester Chester Sq Shopping Ctr 4169 N George St Extended 53,970 $24.10 $1,300,432.56",6706 ,0,,,,"$24.10 $1,300,432.56","$1,300,432.56",$24.10,$24.10,"$1,300,432.56",53959.85726,,Manchester Chester Sq Shopping Ctr 4169 N George St Extended ,Manchester Chester Sq Shopping Ctr 4169 N George St Extended ,
498,Pittsburgh 722 Brookline Blvd ,$22.13,"$1,296,158.09",58570.1803,279 ,0,,"279 Pittsburgh 722 Brookline Blvd 58,578 $22.13 $1,296,158.09",279 ,"279 Pittsburgh 722 Brookline Blvd 58,578 $22.13 $1,296,158.09",279 ,0,,,,"$22.13 $1,296,158.09","$1,296,158.09",$22.13,$22.13,"$1,296,158.09",58570.1803,,Pittsburgh 722 Brookline Blvd ,Pittsburgh 722 Brookline Blvd ,
499,Shenandoah 9 Gold Star Plz ,$25.26,"$1,288,033.88",50991.0483,5402 ,0,,"5402 Shenandoah 9 Gold Star Plz 50,987 $25.26 $1,288,033.88",5402 ,"5402 Shenandoah 9 Gold Star Plz 50,987 $25.26 $1,288,033.88",5402 ,0,,,,"$25.26 $1,288,033.88","$1,288,033.88",$25.26,$25.26,"$1,288,033.88",50991.0483,,Shenandoah 9 Gold Star Plz ,Shenandoah 9 Gold Star Plz ,
500,Mckeesport 149 5th Ave ,$16.71,"$1,283,394.44",76803.97606,205 ,0,,"205 Mckeesport 149 5th Ave 76,797 $16.71 $1,283,394.44",205 ,"205 Mckeesport 149 5th Ave 76,797 $16.71 $1,283,394.44",205 ,0,,,,"$16.71 $1,283,394.44","$1,283,394.44",$16.71,$16.71,"$1,283,394.44",76803.97606,,Mckeesport 149 5th Ave ,Mckeesport 149 5th Ave ,
501,Boothwyn 643 Conchester Pike ,$37.05,"$1,265,915.76",34167.7668,2315 ,0,,"2315 Boothwyn 643 Conchester Pike 34,168 $37.05 $1,265,915.76",2315 ,"2315 Boothwyn 643 Conchester Pike 34,168 $37.05 $1,265,915.76",2315 ,0,,,,"$37.05 $1,265,915.76","$1,265,915.76",$37.05,$37.05,"$1,265,915.76",34167.7668,,Boothwyn 643 Conchester Pike ,Boothwyn 643 Conchester Pike ,
502,Pottstown 212 E High St ,$17.97,"$1,246,447.55",69362.6906,4604 ,0,,"4604 Pottstown 212 E High St 69,372 $17.97 $1,246,447.55",4604 ,"4604 Pottstown 212 E High St 69,372 $17.97 $1,246,447.55",4604 ,0,,,,"$17.97 $1,246,447.55","$1,246,447.55",$17.97,$17.97,"$1,246,447.55",69362.6906,,Pottstown 212 E High St ,Pottstown 212 E High St ,
503,Halifax 3775 Peters Mountain Rd ,$28.65,"$1,245,466.61",43471.78394,2213 ,0,,"2213 Halifax 3775 Peters Mountain Rd 43,469 $28.65 $1,245,466.61",2213 ,"2213 Halifax 3775 Peters Mountain Rd 43,469 $28.65 $1,245,466.61",2213 ,0,,,,"$28.65 $1,245,466.61","$1,245,466.61",$28.65,$28.65,"$1,245,466.61",43471.78394,,Halifax 3775 Peters Mountain Rd ,Halifax 3775 Peters Mountain Rd ,
504,Glassport 739 Monongahela Ave ,$23.84,"$1,242,439.87",52115.76636,244 ,0,,"244 Glassport 739 Monongahela Ave 52,124 $23.84 $1,242,439.87",244 ,"244 Glassport 739 Monongahela Ave 52,124 $23.84 $1,242,439.87",244 ,0,,,,"$23.84 $1,242,439.87","$1,242,439.87",$23.84,$23.84,"$1,242,439.87",52115.76636,,Glassport 739 Monongahela Ave ,Glassport 739 Monongahela Ave ,
505,Moosic 3364 Birney Plz ,$28.96,"$1,239,167.85",42788.9451,3501 ,0,,"3501 Moosic 3364 Birney Plz 42,783 $28.96 $1,239,167.85",3501 ,"3501 Moosic 3364 Birney Plz 42,783 $28.96 $1,239,167.85",3501 ,0,,,,"$28.96 $1,239,167.85","$1,239,167.85",$28.96,$28.96,"$1,239,167.85",42788.9451,,Moosic 3364 Birney Plz ,Moosic 3364 Birney Plz ,
506,Jeannette 114 S Fifth St ,$28.34,"$1,232,247.23",43480.84792,6504 ,0,,"6504 Jeannette 114 S Fifth St 43,485 $28.34 $1,232,247.23",6504 ,"6504 Jeannette 114 S Fifth St 43,485 $28.34 $1,232,247.23",6504 ,0,,,,"$28.34 $1,232,247.23","$1,232,247.23",$28.34,$28.34,"$1,232,247.23",43480.84792,,Jeannette 114 S Fifth St ,Jeannette 114 S Fifth St ,
