"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,store_text,text2,Store Number,LicenseeOrFulfillmentCenter,test,test,test,text,text2,AvgVal_text,AvgValueOfTransaction,DollarSales,TransactionCount,,City+Address,City+Address_edit,
33,Jenkintown 935 Old York Rd ,$39.16,"$9,543,142.51",243696.1826,4613 ,0,,"4613 Jenkintown 935 Old York Rd 243,709 $39.16 $9,543,142.51",4613 ,"4613 Jenkintown 935 Old York Rd 243,709 $39.16 $9,543,142.51",4613 ,0,,,,"$39.16 $9,543,142.51","$9,543,142.51",$39.16,$39.16,"$9,543,142.51",243696.1826,,Jenkintown 935 Old York Rd ,Jenkintown 935 Old York Rd ,
34,Monroeville 3845 Northern Pike ,$40.86,"$9,480,898.78",232033.744,227 ,0,,"227 Monroeville 3845 Northern Pike 232,017 $40.86 $9,480,898.78",227 ,"227 Monroeville 3845 Northern Pike 232,017 $40.86 $9,480,898.78",227 ,0,,,,"$40.86 $9,480,898.78","$9,480,898.78",$40.86,$40.86,"$9,480,898.78",232033.744,,Monroeville 3845 Northern Pike ,Monroeville 3845 Northern Pike ,
35,York Eastern Boulevard Shopping Ctr 2414 Eastern Blvd ,$35.24,"$9,357,971.79",265549.7103,6707 ,0,,"6707 York Eastern Boulevard Shopping Ctr 2414 Eastern Blvd 265,543 $35.24 $9,357,971.79",6707 ,"6707 York Eastern Boulevard Shopping Ctr 2414 Eastern Blvd 265,543 $35.24 $9,357,971.79",6707 ,0,,,,"$35.24 $9,357,971.79","$9,357,971.79",$35.24,$35.24,"$9,357,971.79",265549.7103,,York Eastern Boulevard Shopping Ctr 2414 Eastern Blvd ,York Eastern Boulevard Shopping Ctr 2414 Eastern Blvd ,
36,Hummelstown Hershey Sq Shopping Ctr 1158 Mae St ,$56.13,"$9,317,011.09",165989.8644,2211 ,0,,"2211 Hummelstown Hershey Sq Shopping Ctr 1158 Mae St 165,986 $56.13 $9,317,011.09",2211 ,"2211 Hummelstown Hershey Sq Shopping Ctr 1158 Mae St 165,986 $56.13 $9,317,011.09",2211 ,0,,,,"$56.13 $9,317,011.09","$9,317,011.09",$56.13,$56.13,"$9,317,011.09",165989.8644,,Hummelstown Hershey Sq Shopping Ctr 1158 Mae St ,Hummelstown Hershey Sq Shopping Ctr 1158 Mae St ,
37,Bethlehem 3084 Emrick Blvd (Rear) ,"$1,079.62","$8,799,989.69",8151.006549,4817 ,1,,"4817* Bethlehem 3084 Emrick Blvd (Rear) 8,151 $1,079.62 $8,799,989.69",4817* ,"4817  Bethlehem 3084 Emrick Blvd (Rear) 8,151 $1,079.62 $8,799,989.69",4817 ,1,,,,"$1,079.62 $8,799,989.69","$8,799,989.69","$1,079.62","$1,079.62","$8,799,989.69",8151.006549,,Bethlehem 3084 Emrick Blvd (Rear) ,Bethlehem 3084 Emrick Blvd (Rear) ,
38,Pittsburgh 1955 Wharton St ,$31.60,"$8,751,853.84",276957.4,260 ,0,,"260 Pittsburgh 1955 Wharton St 276,994 $31.60 $8,751,853.84",260 ,"260 Pittsburgh 1955 Wharton St 276,994 $31.60 $8,751,853.84",260 ,0,,,,"$31.60 $8,751,853.84","$8,751,853.84",$31.60,$31.60,"$8,751,853.84",276957.4,,Pittsburgh 1955 Wharton St ,Pittsburgh 1955 Wharton St ,
39,Whitehall 2503 Mickley Ave ,$32.71,"$8,689,149.76",265641.9982,3913 ,0,,"3913 Whitehall 2503 Mickley Ave 265,673 $32.71 $8,689,149.76",3913 ,"3913 Whitehall 2503 Mickley Ave 265,673 $32.71 $8,689,149.76",3913 ,0,,,,"$32.71 $8,689,149.76","$8,689,149.76",$32.71,$32.71,"$8,689,149.76",265641.9982,,Whitehall 2503 Mickley Ave ,Whitehall 2503 Mickley Ave ,
40,Maple Glen Maple Glen Shopping Ctr 1973 Norristown Rd ,$45.49,"$8,653,770.20",190234.5614,4606 ,0,,"4606 Maple Glen Maple Glen Shopping Ctr 1973 Norristown Rd 190,227 $45.49 $8,653,770.20",4606 ,"4606 Maple Glen Maple Glen Shopping Ctr 1973 Norristown Rd 190,227 $45.49 $8,653,770.20",4606 ,0,,,,"$45.49 $8,653,770.20","$8,653,770.20",$45.49,$45.49,"$8,653,770.20",190234.5614,,Maple Glen Maple Glen Shopping Ctr 1973 Norristown Rd ,Maple Glen Maple Glen Shopping Ctr 1973 Norristown Rd ,
41,State College Hamilton Sq Shopping Ctr 230 W Hamilton Ave ,$54.02,"$8,633,243.61",159815.6907,1404 ,0,,"1404 State College Hamilton Sq Shopping Ctr 230 W Hamilton Ave 159,804 $54.02 $8,633,243.61",1404 ,"1404 State College Hamilton Sq Shopping Ctr 230 W Hamilton Ave 159,804 $54.02 $8,633,243.61",1404 ,0,,,,"$54.02 $8,633,243.61","$8,633,243.61",$54.02,$54.02,"$8,633,243.61",159815.6907,,State College Hamilton Sq Shopping Ctr 230 W Hamilton Ave ,State College Hamilton Sq Shopping Ctr 230 W Hamilton Ave ,
42,Quakertown Quakertown Shopping Ctr 1465 W Broad ,$31.46,"$8,618,221.06",273942.1825,920 ,0,,"920 Quakertown Quakertown Shopping Ctr 1465 W Broad St, Ste 19 273,972 $31.46 $8,618,221.06",920 ,"920 Quakertown Quakertown Shopping Ctr 1465 W Broad St, Ste 19 273,972 $31.46 $8,618,221.06",920 ,0,,,,"$31.46 $8,618,221.06","$8,618,221.06",$31.46,$31.46,"$8,618,221.06",273942.1825,,Quakertown Quakertown Shopping Ctr 1465 W Broad ,Quakertown Quakertown Shopping Ctr 1465 W Broad ,
